cpp_line	cpp_opcode	cpp_value	cpp_status	cpp_processing	cpp_handler	cpp_handler_file	cpp_handler_line	cpp_owner_doc	rust_const	rust_registered	rust_file	rust_handler	rust_status	rust_processing	notes
139	CMSG_ABANDON_NPE_RESPONSE	0xBADD	STATUS_UNHANDLED	PROCESS_THREADUNSAFE	Handle_NULL	game/Server/WorldSession.cpp	803	server.md	-	no	-	-	-	-	missing_rust_opcode_constant,cpp_unhandled_null
140	CMSG_ACCEPT_GUILD_INVITE	0x35FE	STATUS_LOGGEDIN	PROCESS_THREADUNSAFE	HandleGuildAcceptInvite	game/Handlers/GuildHandler.cpp	67	handlers.md	AcceptGuildInvite	no	-	-	-	-	missing_rust_dispatch
141	CMSG_ACCEPT_RETURNING_PLAYER_PROMPT	0xBADD	STATUS_UNHANDLED	PROCESS_THREADUNSAFE	Handle_NULL	game/Server/WorldSession.cpp	803	server.md	-	no	-	-	-	-	missing_rust_opcode_constant,cpp_unhandled_null
142	CMSG_ACCEPT_SOCIAL_CONTRACT	0x374D	STATUS_AUTHED	PROCESS_THREADUNSAFE	HandleAcceptSocialContract	game/Handlers/MiscHandler.cpp	1375	handlers.md	AcceptSocialContract	no	-	-	-	-	missing_rust_dispatch
143	CMSG_ACCEPT_TRADE	0x315A	STATUS_LOGGEDIN	PROCESS_THREADUNSAFE	HandleAcceptTradeOpcode	game/Handlers/TradeHandler.cpp	236	handlers.md	AcceptTrade	no	-	-	-	-	missing_rust_dispatch
144	CMSG_ACCEPT_WARGAME_INVITE	0x35E1	STATUS_LOGGEDIN	PROCESS_THREADUNSAFE	HandleAcceptWargameInvite	game/Handlers/BattleGroundHandler.cpp	852	handlers.md	AcceptWargameInvite	no	-	-	-	-	missing_rust_dispatch
145	CMSG_ACCOUNT_NOTIFICATION_ACKNOWLEDGED	0x373D	STATUS_AUTHED	PROCESS_THREADUNSAFE	HandleAccountNotificationAcknowledged	game/Handlers/MiscHandler.cpp	1361	handlers.md	AccountNotificationAcknowledged	no	-	-	-	-	missing_rust_dispatch
146	CMSG_ACTIVATE_SOULBIND	0xBADD	STATUS_UNHANDLED	PROCESS_THREADUNSAFE	Handle_NULL	game/Server/WorldSession.cpp	803	server.md	-	no	-	-	-	-	missing_rust_opcode_constant,cpp_unhandled_null
147	CMSG_ACTIVATE_TAXI	0x34AB	STATUS_LOGGEDIN	PROCESS_THREADSAFE	HandleActivateTaxiOpcode	game/Handlers/TaxiHandler.cpp	167	handlers.md	ActivateTaxi	no	-	-	-	-	missing_rust_dispatch
148	CMSG_ADDON_LIST	0x35D8	STATUS_AUTHED	PROCESS_INPLACE	HandleAddonList	game/Handlers/MiscHandler.cpp	1382	handlers.md	AddonList	no	-	-	-	-	missing_rust_dispatch
149	CMSG_ADD_ACCOUNT_COSMETIC	0xBADD	STATUS_UNHANDLED	PROCESS_THREADUNSAFE	Handle_NULL	game/Server/WorldSession.cpp	803	server.md	-	no	-	-	-	-	missing_rust_opcode_constant,cpp_unhandled_null
150	CMSG_ADD_BATTLENET_FRIEND	0x365C	STATUS_UNHANDLED	PROCESS_THREADUNSAFE	Handle_NULL	game/Server/WorldSession.cpp	803	server.md	AddBattlenetFriend	no	-	-	-	-	missing_rust_dispatch,cpp_unhandled_null
151	CMSG_ADD_FRIEND	0x36D8	STATUS_LOGGEDIN	PROCESS_THREADUNSAFE	HandleAddFriendOpcode	game/Handlers/SocialHandler.cpp	39	handlers.md	AddFriend	yes	crates/wow-world/src/handlers/social.rs	handle_add_friend	LoggedIn	ThreadUnsafe	-
152	CMSG_ADD_IGNORE	0x36DC	STATUS_LOGGEDIN	PROCESS_THREADUNSAFE	HandleAddIgnoreOpcode	game/Handlers/SocialHandler.cpp	130	handlers.md	AddIgnore	no	-	-	-	-	missing_rust_dispatch
153	CMSG_ADD_TOY	0x3299	STATUS_LOGGEDIN	PROCESS_THREADUNSAFE	HandleAddToy	game/Handlers/ToyHandler.cpp	28	handlers.md	AddToy	no	-	-	-	-	missing_rust_dispatch
154	CMSG_ADVENTURE_JOURNAL_OPEN_QUEST	0xBADD	STATUS_LOGGEDIN	PROCESS_THREADUNSAFE	HandleAdventureJournalOpenQuest	game/Handlers/AdventureJournalHandler.cpp	25	handlers.md	-	no	-	-	-	-	missing_rust_opcode_constant
155	CMSG_ADVENTURE_JOURNAL_UPDATE_SUGGESTIONS	0xBADD	STATUS_LOGGEDIN	PROCESS_THREADUNSAFE	HandleAdventureJournalUpdateSuggestions	game/Handlers/AdventureJournalHandler.cpp	46	handlers.md	-	no	-	-	-	-	missing_rust_opcode_constant
156	CMSG_ADVENTURE_MAP_START_QUEST	0x32D9	STATUS_LOGGEDIN	PROCESS_THREADUNSAFE	HandleAdventureMapStartQuest	game/Handlers/AdventureMapHandler.cpp	24	handlers.md	AdventureMapStartQuest	no	-	-	-	-	missing_rust_dispatch
