key	cxx_dist_refs	cxx_dist_defaults	cxx_direct_refs	cxx_direct_defaults	cxx_targets	rust_refs	status	notes
Account.PasswordChangeSecurity	worldserver:server/worldserver/worldserver.conf.dist:1380	worldserver=0	Int:server/game/World/World.cpp:1608	Int=0	CONFIG_ACC_PASSCHANGESEC		missing_in_rust	-
AccountInstancesPerHour	worldserver:server/worldserver/worldserver.conf.dist:1371	worldserver=5	Int:server/game/World/World.cpp:1619	Int=5	CONFIG_MAX_INSTANCES_PER_HOUR		missing_in_rust	-
ActivateWeather	worldserver:server/worldserver/worldserver.conf.dist:1009	worldserver=1	Bool:server/game/World/World.cpp:1228	Bool=true	CONFIG_WEATHER		missing_in_rust	-
AddonChannel	worldserver:server/worldserver/worldserver.conf.dist:509	worldserver=1	Bool:server/game/World/World.cpp:769	Bool=true	CONFIG_ADDON_CHANNEL		missing_in_rust	-
AllFlightPaths	worldserver:server/worldserver/worldserver.conf.dist:992	worldserver=0	Bool:server/game/World/World.cpp:1110	Bool=false	CONFIG_ALL_TAXI_PATHS		missing_in_rust	-
Allow.IP.Based.Action.Logging	worldserver:server/worldserver/worldserver.conf.dist:4269	worldserver=0	Bool:server/game/World/World.cpp:1678	Bool=false	CONFIG_IP_BASED_ACTION_LOGGING		missing_in_rust	-
AllowLoggingIPAddressesInDatabase	worldserver:server/worldserver/worldserver.conf.dist:1431|bnetserver:server/bnetserver/bnetserver.conf.dist:225	worldserver=1|bnetserver=1	Bool:server/game/World/World.cpp:1723	Bool=true	CONFIG_ALLOW_LOGGING_IP_ADDRESSES_IN_DATABASE		missing_in_rust	-
AllowTwoSide.Interaction.Auction	worldserver:server/worldserver/worldserver.conf.dist:1707	worldserver=1	Bool:server/game/World/World.cpp:915	Bool=true	CONFIG_ALLOW_TWO_SIDE_INTERACTION_AUCTION		missing_in_rust	-
AllowTwoSide.Interaction.Calendar	worldserver:server/worldserver/worldserver.conf.dist:1666	worldserver=0	Bool:server/game/World/World.cpp:911	Bool=false	CONFIG_ALLOW_TWO_SIDE_INTERACTION_CALENDAR		missing_in_rust	-
AllowTwoSide.Interaction.Channel	worldserver:server/worldserver/worldserver.conf.dist:1674	worldserver=0	Bool:server/game/World/World.cpp:912	Bool=false	CONFIG_ALLOW_TWO_SIDE_INTERACTION_CHANNEL		missing_in_rust	-
AllowTwoSide.Interaction.Group	worldserver:server/worldserver/worldserver.conf.dist:1682	worldserver=0	Bool:server/game/World/World.cpp:913	Bool=false	CONFIG_ALLOW_TWO_SIDE_INTERACTION_GROUP		missing_in_rust	-
AllowTwoSide.Interaction.Guild	worldserver:server/worldserver/worldserver.conf.dist:1690	worldserver=0	Bool:server/game/World/World.cpp:914	Bool=false	CONFIG_ALLOW_TWO_SIDE_INTERACTION_GUILD		missing_in_rust	-
AllowTwoSide.Trade	worldserver:server/worldserver/worldserver.conf.dist:1715	worldserver=0	Bool:server/game/World/World.cpp:916	Bool=false	CONFIG_ALLOW_TWO_SIDE_TRADE		missing_in_rust	-
Appender.Bnet	bnetserver:server/bnetserver/bnetserver.conf.dist:415	bnetserver=2,2,0,Bnet.log,w					missing_in_rust	-
Appender.Console	worldserver:server/worldserver/worldserver.conf.dist:4157|bnetserver:server/bnetserver/bnetserver.conf.dist:414	worldserver=1,3,0|bnetserver=1,2,0					missing_in_rust	-
Appender.DBErrors	worldserver:server/worldserver/worldserver.conf.dist:4160	worldserver=2,2,0,DBErrors.log					missing_in_rust	-
Appender.GM	worldserver:server/worldserver/worldserver.conf.dist:4159	worldserver=2,2,1,GM.log					missing_in_rust	-
Appender.Server	worldserver:server/worldserver/worldserver.conf.dist:4158	worldserver=2,2,0,Server.log,w					missing_in_rust	-
Arena.ArenaLoseRatingModifier	worldserver:server/worldserver/worldserver.conf.dist:3141	worldserver=24	Float:server/game/World/World.cpp:1358	Float=24.0f	CONFIG_ARENA_LOSE_RATING_MODIFIER		missing_in_rust	-
Arena.ArenaMatchmakerRatingModifier	worldserver:server/worldserver/worldserver.conf.dist:3148	worldserver=24	Float:server/game/World/World.cpp:1359	Float=24.0f	CONFIG_ARENA_MATCHMAKER_RATING_MODIFIER		missing_in_rust	-
