family	subfamily	kind	symbol	cxx_ref	rust_status
Battlefield	BattlefieldWG.cpp	AddSC_definition	AddSC_BF_wintergrasp	src/server/scripts/Battlefield/BattlefieldWG.cpp:1852	missing
Battlefield	battlefield_script_loader.cpp	AddSC_definition	AddSC_BF_wintergrasp	src/server/scripts/Battlefield/battlefield_script_loader.cpp:17	missing
Commands	cs_account.cpp	AddSC_definition	AddSC_account_commandscript	src/server/scripts/Commands/cs_account.cpp:1022	missing
Commands	cs_achievement.cpp	AddSC_definition	AddSC_achievement_commandscript	src/server/scripts/Commands/cs_achievement.cpp:63	missing
Commands	cs_ahbot.cpp	AddSC_definition	AddSC_ahbot_commandscript	src/server/scripts/Commands/cs_ahbot.cpp:204	missing
Commands	cs_arena.cpp	AddSC_definition	AddSC_arena_commandscript	src/server/scripts/Commands/cs_arena.cpp:247	missing
Commands	cs_ban.cpp	AddSC_definition	AddSC_ban_commandscript	src/server/scripts/Commands/cs_ban.cpp:761	missing
Commands	cs_battlenet_account.cpp	AddSC_definition	AddSC_battlenet_account_commandscript	src/server/scripts/Commands/cs_battlenet_account.cpp:386	missing
Commands	cs_bf.cpp	AddSC_definition	AddSC_bf_commandscript	src/server/scripts/Commands/cs_bf.cpp:137	missing
Commands	cs_cast.cpp	AddSC_definition	AddSC_cast_commandscript	src/server/scripts/Commands/cs_cast.cpp:224	missing
Commands	cs_character.cpp	AddSC_definition	AddSC_character_commandscript	src/server/scripts/Commands/cs_character.cpp:964	missing
Commands	cs_cheat.cpp	AddSC_definition	AddSC_cheat_commandscript	src/server/scripts/Commands/cs_cheat.cpp:250	missing
Commands	cs_debug.cpp	AddSC_definition	AddSC_debug_commandscript	src/server/scripts/Commands/cs_debug.cpp:1795	missing
Commands	cs_deserter.cpp	AddSC_definition	AddSC_deserter_commandscript	src/server/scripts/Commands/cs_deserter.cpp:183	missing
Commands	cs_disable.cpp	AddSC_definition	AddSC_disable_commandscript	src/server/scripts/Commands/cs_disable.cpp:350	missing
Commands	cs_event.cpp	AddSC_definition	AddSC_event_commandscript	src/server/scripts/Commands/cs_event.cpp:186	missing
Commands	cs_gm.cpp	AddSC_definition	AddSC_gm_commandscript	src/server/scripts/Commands/cs_gm.cpp:242	missing
Commands	cs_go.cpp	AddSC_definition	AddSC_go_commandscript	src/server/scripts/Commands/cs_go.cpp:619	missing
Commands	cs_gobject.cpp	AddSC_definition	AddSC_gobject_commandscript	src/server/scripts/Commands/cs_gobject.cpp:632	missing
Commands	cs_group.cpp	AddSC_definition	AddSC_group_commandscript	src/server/scripts/Commands/cs_group.cpp:527	missing
Commands	cs_guild.cpp	AddSC_definition	AddSC_guild_commandscript	src/server/scripts/Commands/cs_guild.cpp:305	missing
Commands	cs_honor.cpp	AddSC_definition	AddSC_honor_commandscript	src/server/scripts/Commands/cs_honor.cpp:116	missing
Commands	cs_instance.cpp	AddSC_definition	AddSC_instance_commandscript	src/server/scripts/Commands/cs_instance.cpp:265	missing
Commands	cs_learn.cpp	AddSC_definition	AddSC_learn_commandscript	src/server/scripts/Commands/cs_learn.cpp:477	missing
Commands	cs_lfg.cpp	AddSC_definition	AddSC_lfg_commandscript	src/server/scripts/Commands/cs_lfg.cpp:178	missing
Commands	cs_list.cpp	AddSC_definition	AddSC_list_commandscript	src/server/scripts/Commands/cs_list.cpp:727	missing
Commands	cs_lookup.cpp	AddSC_definition	AddSC_lookup_commandscript	src/server/scripts/Commands/cs_lookup.cpp:1547	missing
Commands	cs_message.cpp	AddSC_definition	AddSC_message_commandscript	src/server/scripts/Commands/cs_message.cpp:253	missing
Commands	cs_misc.cpp	AddSC_definition	AddSC_misc_commandscript	src/server/scripts/Commands/cs_misc.cpp:2683	missing
Commands	cs_mmaps.cpp	AddSC_definition	AddSC_mmaps_commandscript	src/server/scripts/Commands/cs_mmaps.cpp:304	missing
