family	subfamily	script_name	base_class	cxx_ref	rust_status	notes
Battlefield	BattlefieldWG.cpp	npc_wg_give_promotion_credit	CreatureScript	src/server/scripts/Battlefield/BattlefieldWG.cpp:1	missing	No Rust script implementation detected
Battlefield	BattlefieldWG.cpp	Battlefield_wintergrasp	BattlefieldScript	src/server/scripts/Battlefield/BattlefieldWG.cpp:2	missing	No Rust script implementation detected
Commands	cs_account.cpp	account_commandscript	CommandScript	src/server/scripts/Commands/cs_account.cpp:1	missing	No Rust script implementation detected
Commands	cs_achievement.cpp	achievement_commandscript	CommandScript	src/server/scripts/Commands/cs_achievement.cpp:1	missing	No Rust script implementation detected
Commands	cs_ahbot.cpp	ahbot_commandscript	CommandScript	src/server/scripts/Commands/cs_ahbot.cpp:1	missing	No Rust script implementation detected
Commands	cs_arena.cpp	arena_commandscript	CommandScript	src/server/scripts/Commands/cs_arena.cpp:1	missing	No Rust script implementation detected
Commands	cs_ban.cpp	ban_commandscript	CommandScript	src/server/scripts/Commands/cs_ban.cpp:1	missing	No Rust script implementation detected
Commands	cs_battlenet_account.cpp	battlenet_account_commandscript	CommandScript	src/server/scripts/Commands/cs_battlenet_account.cpp:1	missing	No Rust script implementation detected
Commands	cs_bf.cpp	bf_commandscript	CommandScript	src/server/scripts/Commands/cs_bf.cpp:1	missing	No Rust script implementation detected
Commands	cs_cast.cpp	cast_commandscript	CommandScript	src/server/scripts/Commands/cs_cast.cpp:1	missing	No Rust script implementation detected
Commands	cs_character.cpp	character_commandscript	CommandScript	src/server/scripts/Commands/cs_character.cpp:1	missing	No Rust script implementation detected
Commands	cs_cheat.cpp	cheat_commandscript	CommandScript	src/server/scripts/Commands/cs_cheat.cpp:1	missing	No Rust script implementation detected
Commands	cs_debug.cpp	debug_commandscript	CommandScript	src/server/scripts/Commands/cs_debug.cpp:1	missing	No Rust script implementation detected
Commands	cs_deserter.cpp	deserter_commandscript	CommandScript	src/server/scripts/Commands/cs_deserter.cpp:1	missing	No Rust script implementation detected
Commands	cs_disable.cpp	disable_commandscript	CommandScript	src/server/scripts/Commands/cs_disable.cpp:1	missing	No Rust script implementation detected
Commands	cs_event.cpp	event_commandscript	CommandScript	src/server/scripts/Commands/cs_event.cpp:1	missing	No Rust script implementation detected
Commands	cs_gm.cpp	gm_commandscript	CommandScript	src/server/scripts/Commands/cs_gm.cpp:1	missing	No Rust script implementation detected
Commands	cs_go.cpp	go_commandscript	CommandScript	src/server/scripts/Commands/cs_go.cpp:1	missing	No Rust script implementation detected
Commands	cs_gobject.cpp	gobject_commandscript	CommandScript	src/server/scripts/Commands/cs_gobject.cpp:1	missing	No Rust script implementation detected
Commands	cs_group.cpp	group_commandscript	CommandScript	src/server/scripts/Commands/cs_group.cpp:1	missing	No Rust script implementation detected
Commands	cs_guild.cpp	guild_commandscript	CommandScript	src/server/scripts/Commands/cs_guild.cpp:1	missing	No Rust script implementation detected
Commands	cs_honor.cpp	honor_commandscript	CommandScript	src/server/scripts/Commands/cs_honor.cpp:1	missing	No Rust script implementation detected
Commands	cs_instance.cpp	instance_commandscript	CommandScript	src/server/scripts/Commands/cs_instance.cpp:1	missing	No Rust script implementation detected
