cpp_line	cpp_opcode	cpp_value	cpp_status	cpp_connection	rust_const	notes
1028	SMSG_ABORT_NEW_WORLD	0x2598	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	AbortNewWorld	-
1029	SMSG_ACCOUNT_COSMETIC_ADDED	0xBADD	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	-	missing_rust_opcode_constant
1030	SMSG_ACCOUNT_CRITERIA_UPDATE	0x2868	STATUS_NEVER	CONNECTION_TYPE_REALM	AccountCriteriaUpdate	-
1031	SMSG_ACCOUNT_DATA_TIMES	0x270A	STATUS_NEVER	CONNECTION_TYPE_REALM	AccountDataTimes	-
1032	SMSG_ACCOUNT_EXPORT_RESPONSE	0x28A7	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	AccountExportResponse	-
1033	SMSG_ACCOUNT_HEIRLOOM_UPDATE	0xBADD	STATUS_NEVER	CONNECTION_TYPE_INSTANCE	-	missing_rust_opcode_constant
1034	SMSG_ACCOUNT_MOUNT_REMOVED	0x25AF	STATUS_UNHANDLED	CONNECTION_TYPE_INSTANCE	AccountMountRemoved	-
1035	SMSG_ACCOUNT_MOUNT_UPDATE	0x25AE	STATUS_NEVER	CONNECTION_TYPE_INSTANCE	AccountMountUpdate	-
1036	SMSG_ACCOUNT_NOTIFICATIONS_RESPONSE	0x2883	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	AccountNotificationsResponse	-
1037	SMSG_ACCOUNT_TOY_UPDATE	0x25B0	STATUS_NEVER	CONNECTION_TYPE_INSTANCE	AccountToyUpdate	-
1038	SMSG_ACCOUNT_TRANSMOG_SET_FAVORITES_UPDATE	0xBADD	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	-	missing_rust_opcode_constant
1039	SMSG_ACCOUNT_TRANSMOG_UPDATE	0xBADD	STATUS_NEVER	CONNECTION_TYPE_REALM	-	missing_rust_opcode_constant
1040	SMSG_ACHIEVEMENT_DELETED	0x26E8	STATUS_NEVER	CONNECTION_TYPE_INSTANCE	AchievementDeleted	-
1041	SMSG_ACHIEVEMENT_EARNED	0x2643	STATUS_NEVER	CONNECTION_TYPE_INSTANCE	AchievementEarned	-
1042	SMSG_ACTIVATE_ESSENCE_FAILED	0xBADD	STATUS_NEVER	CONNECTION_TYPE_REALM	-	missing_rust_opcode_constant
1043	SMSG_ACTIVATE_SOULBIND_FAILED	0xBADD	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	-	missing_rust_opcode_constant
1044	SMSG_ACTIVATE_TAXI_REPLY	0x267D	STATUS_NEVER	CONNECTION_TYPE_REALM	ActivateTaxiReply	implemented in wow-packet::packets::misc::ActivateTaxiReply for #NEXT.R8.ENTITIES.906
1045	SMSG_ACTIVE_GLYPHS	0x2C51	STATUS_NEVER	CONNECTION_TYPE_REALM	ActiveGlyphs	-
1046	SMSG_ACTIVE_SCHEDULED_WORLD_STATE_INFO	0xBADD	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	-	missing_rust_opcode_constant
1047	SMSG_ADDON_LIST_REQUEST	0x2642	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	AddonListRequest	-
1048	SMSG_ADD_BATTLENET_FRIEND_RESPONSE	0x263D	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	AddBattlenetFriendResponse	-
1049	SMSG_ADD_ITEM_PASSIVE	0x25AA	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	AddItemPassive	-
1050	SMSG_ADD_LOSS_OF_CONTROL	0x2671	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	AddLossOfControl	-
1051	SMSG_ADD_RUNE_POWER	0x26B8	STATUS_NEVER	CONNECTION_TYPE_INSTANCE	AddRunePower	-
1052	SMSG_ADJUST_SPLINE_DURATION	0x25D0	STATUS_UNHANDLED	CONNECTION_TYPE_REALM	AdjustSplineDuration	-
1053	SMSG_ADVANCED_COMBAT_LOG	0xBADD	STATUS_UNHANDLED	CONNECTION_TYPE_INSTANCE	-	missing_rust_opcode_constant
1054	SMSG_ADVENTURE_JOURNAL_DATA_RESPONSE	0xBADD	STATUS_NEVER	CONNECTION_TYPE_REALM	-	missing_rust_opcode_constant
1055	SMSG_AE_LOOT_TARGETS	0x2618	STATUS_NEVER	CONNECTION_TYPE_INSTANCE	AeLootTargets	-
1056	SMSG_AE_LOOT_TARGET_ACK	0x2619	STATUS_NEVER	CONNECTION_TYPE_INSTANCE	AeLootTargetAck	-
1057	SMSG_AI_REACTION	0x26B5	STATUS_NEVER	CONNECTION_TYPE_INSTANCE	AiReaction	-
