doc	declared	rust_target	kind	rust_files	rust_lines	status	notes
accounts.md	`crates/wow-database/`, `crates/wow-network/`, `crates/bnet-server/`, `crates/wow-world/` (consumer)	crates/wow-database	crate_dir	12	2262	exists_active	crate exists
accounts.md	`crates/wow-database/`, `crates/wow-network/`, `crates/bnet-server/`, `crates/wow-world/` (consumer)	crates/wow-network	crate_dir	6	1716	exists_active	crate exists
accounts.md	`crates/wow-database/`, `crates/wow-network/`, `crates/bnet-server/`, `crates/wow-world/` (consumer)	crates/bnet-server	crate_dir	13	2831	exists_active	crate exists
accounts.md	`crates/wow-database/`, `crates/wow-network/`, `crates/bnet-server/`, `crates/wow-world/` (consumer)	crates/wow-world	crate_dir	17	12778	exists_active	crate exists
accounts.md	`crates/wow-database/`, `crates/wow-network/`, `crates/bnet-server/`, `crates/wow-world/` (consumer)	crates/wow-database/src/statements/login.rs	file	1	327	exists_active	file exists
accounts.md	`crates/wow-database/`, `crates/wow-network/`, `crates/bnet-server/`, `crates/wow-world/` (consumer)	crates/wow-database/src/statements/character.rs	file	1	284	exists_active	file exists
accounts.md	`crates/wow-database/`, `crates/wow-network/`, `crates/bnet-server/`, `crates/wow-world/` (consumer)	crates/wow-network/src/world_socket.rs	file	1	1023	exists_active	file exists
accounts.md	`crates/wow-database/`, `crates/wow-network/`, `crates/bnet-server/`, `crates/wow-world/` (consumer)	crates/bnet-server/src/rest/handlers.rs	file	1	573	exists_active	file exists
accounts.md	`crates/wow-database/`, `crates/wow-network/`, `crates/bnet-server/`, `crates/wow-world/` (consumer)	crates/wow-constants	crate_dir	10	5477	exists_active	crate exists
accounts.md	`crates/wow-database/`, `crates/wow-network/`, `crates/bnet-server/`, `crates/wow-world/` (consumer)	crates/world-server	crate_dir	1	818	exists_active	crate exists
achievements.md	`crates/wow-achievement/` (currently empty), with handler/wire-up in `crates/wow-world/src/handlers/` (and existing SMSG stubs in `crates/wow-packet/src/packets/misc.rs`).	crates/wow-achievement	crate_dir	1	0	exists_empty	crate exists; no active Rust source lines
achievements.md	`crates/wow-achievement/` (currently empty), with handler/wire-up in `crates/wow-world/src/handlers/` (and existing SMSG stubs in `crates/wow-packet/src/packets/misc.rs`).	crates/wow-world/src/handlers	module_dir	14	8843	exists_active	directory exists
achievements.md	`crates/wow-achievement/` (currently empty), with handler/wire-up in `crates/wow-world/src/handlers/` (and existing SMSG stubs in `crates/wow-packet/src/packets/misc.rs`).	crates/wow-packet/src/packets/misc.rs	file	1	2613	exists_active	file exists
achievements.md	`crates/wow-achievement/` (currently empty), with handler/wire-up in `crates/wow-world/src/handlers/` (and existing SMSG stubs in `crates/wow-packet/src/packets/misc.rs`).	crates/wow-achievement/Cargo.toml	file	1	10	exists_manifest	manifest exists; not counted as active Rust source
achievements.md	`crates/wow-achievement/` (currently empty), with handler/wire-up in `crates/wow-world/src/handlers/` (and existing SMSG stubs in `crates/wow-packet/src/packets/misc.rs`).	crates/wow-core	crate_dir	4	1153	exists_active	crate exists
achievements.md	`crates/wow-achievement/` (currently empty), with handler/wire-up in `crates/wow-world/src/handlers/` (and existing SMSG stubs in `crates/wow-packet/src/packets/misc.rs`).	crates/wow-constants	crate_dir	10	5477	exists_active	crate exists
