direction	opcode	value	owner_doc	cpp_ref	parser_serializer	handler	status	processing	test_gate	notes
CMSG	CMSG_ABANDON_NPE_RESPONSE	0xBADD	server.md	/home/server/woltk-trinity-legacy/src/server/game/Server/WorldSession.cpp:803	missing opcode constant	missing dispatch/handler for Handle_NULL	-	PROCESS_THREADUNSAFE	#SERVER.TEST.003	missing_rust_opcode_constant,cpp_unhandled_null
CMSG	CMSG_ACCEPT_GUILD_INVITE	0x35FE	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/GuildHandler.cpp:67	WorldPackets::Guild empty parser in wow-packet/misc.rs by #NEXT.R8.ENTITIES.873	crates/wow-world/src/handlers/misc.rs:handle_accept_guild_invite	LoggedIn	PROCESS_THREADUNSAFE	#NEXT.R8.ENTITIES.873	represented-partial_accept_guild_invite_runtime_gap
CMSG	CMSG_ACCEPT_RETURNING_PLAYER_PROMPT	0xBADD	server.md	/home/server/woltk-trinity-legacy/src/server/game/Server/WorldSession.cpp:803	missing opcode constant	missing dispatch/handler for Handle_NULL	-	PROCESS_THREADUNSAFE	#SERVER.TEST.003	missing_rust_opcode_constant,cpp_unhandled_null
CMSG	CMSG_ACCEPT_SOCIAL_CONTRACT	0x374D	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/MiscHandler.cpp:1375	empty parser present in wow-packet by #NEXT.R8.ENTITIES.813	crates/wow-world/src/handlers/social.rs:handle_accept_social_contract	Authed	PROCESS_THREADUNSAFE	#HANDLERS.TEST.003	represented-complete_social_contract
CMSG	CMSG_ACCEPT_TRADE	0x315A	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/TradeHandler.cpp:236	WorldPackets::Trade::AcceptTrade uint32 StateIndex parser in wow-packet/misc.rs by #NEXT.R8.ENTITIES.892	crates/wow-world/src/handlers/misc.rs:handle_accept_trade	LoggedIn	PROCESS_THREADUNSAFE	#NEXT.R8.ENTITIES.892	represented-partial_bounded_accept_trade_state_index_status_handshake
CMSG	CMSG_ACCEPT_WARGAME_INVITE	0x35E1	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/BattleGroundHandler.cpp:852	WorldPackets::Battleground::AcceptWargameInvite cstring parser in wow-packet/misc.rs by #NEXT.R8.ENTITIES.890	crates/wow-world/src/handlers/misc.rs:handle_accept_wargame_invite	LoggedIn	PROCESS_THREADUNSAFE	#NEXT.R8.ENTITIES.890	represented-complete_bounded_accept_wargame_invite_validation_todo
CMSG	CMSG_ACCOUNT_NOTIFICATION_ACKNOWLEDGED	0x373D	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/MiscHandler.cpp:1361	uint32 NotificationId parser present in wow-packet by #NEXT.R8.ENTITIES.814	crates/wow-world/src/handlers/social.rs:handle_account_notification_acknowledged	Authed	PROCESS_THREADUNSAFE	#HANDLERS.TEST.003	represented-complete_account_notification_ack
CMSG	CMSG_ACTIVATE_SOULBIND	0xBADD	server.md	/home/server/woltk-trinity-legacy/src/server/game/Server/WorldSession.cpp:803	missing opcode constant	missing dispatch/handler for Handle_NULL	-	PROCESS_THREADUNSAFE	#SERVER.TEST.003	missing_rust_opcode_constant,cpp_unhandled_null
CMSG	CMSG_ACTIVATE_TAXI	0x34AB	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/TaxiHandler.cpp:167	WorldPackets::Taxi::ActivateTaxi parser in wow-packet/misc.rs by #NEXT.R8.ENTITIES.906	crates/wow-world/src/handlers/misc.rs:handle_activate_taxi	LoggedIn	PROCESS_THREADSAFE	#NEXT.R8.ENTITIES.906	represented-partial_bounded_activate_taxi_interactable_flightmaster_gate
CMSG	CMSG_ADDON_LIST	0x35D8	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/MiscHandler.cpp:1382	count/bits/string parser present in wow-packet by #NEXT.R8.ENTITIES.815	crates/wow-world/src/handlers/misc.rs:handle_addon_list	Authed	PROCESS_INPLACE	#HANDLERS.TEST.003	represented-complete_addon_list
CMSG	CMSG_ADD_ACCOUNT_COSMETIC	0xBADD	server.md	/home/server/woltk-trinity-legacy/src/server/game/Server/WorldSession.cpp:803	missing opcode constant	missing dispatch/handler for Handle_NULL	-	PROCESS_THREADUNSAFE	#SERVER.TEST.003	missing_rust_opcode_constant,cpp_unhandled_null
CMSG	CMSG_ADD_BATTLENET_FRIEND	0x365C	server.md	/home/server/woltk-trinity-legacy/src/server/game/Server/WorldSession.cpp:803	WorldPackets::Null shape; no parser needed beyond dispatch by #NEXT.R8.ENTITIES.819	crates/wow-world/src/handlers/misc.rs:handle_add_battlenet_friend	Authed	PROCESS_THREADUNSAFE	#SERVER.TEST.003	represented-complete_cpp_unhandled_null
CMSG	CMSG_ADD_FRIEND	0x36D8	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/SocialHandler.cpp:39	parser required in wow-packet/wow-world	crates/wow-world/src/handlers/social.rs:handle_add_friend	LoggedIn	PROCESS_THREADUNSAFE	#HANDLERS.TEST.003	-
CMSG	CMSG_ADD_IGNORE	0x36DC	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/SocialHandler.cpp:130	parser present in wow-packet; represented DB-backed ignore with C++ name normalization by #NEXT.R8.ENTITIES.812	crates/wow-world/src/handlers/social.rs:handle_add_ignore	LoggedIn	PROCESS_THREADUNSAFE	#HANDLERS.TEST.003	represented-partial_social_ignore
CMSG	CMSG_ADD_TOY	0x3299	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/ToyHandler.cpp:28	Guid parser present in wow-packet; represented toy learn/destroy path by #NEXT.R8.ENTITIES.816	crates/wow-world/src/handlers/misc.rs:handle_add_toy	LoggedIn	PROCESS_THREADUNSAFE	#HANDLERS.TEST.003	represented-partial_add_toy
CMSG	CMSG_ADVENTURE_JOURNAL_OPEN_QUEST	0xBADD	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/AdventureJournalHandler.cpp:25	missing opcode constant	missing dispatch/handler for HandleAdventureJournalOpenQuest	-	PROCESS_THREADUNSAFE	#HANDLERS.TEST.003	missing_rust_opcode_constant
CMSG	CMSG_ADVENTURE_JOURNAL_UPDATE_SUGGESTIONS	0xBADD	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/AdventureJournalHandler.cpp:46	missing opcode constant	missing dispatch/handler for HandleAdventureJournalUpdateSuggestions	-	PROCESS_THREADUNSAFE	#HANDLERS.TEST.003	missing_rust_opcode_constant
CMSG	CMSG_ADVENTURE_MAP_START_QUEST	0x32D9	handlers.md	/home/server/woltk-trinity-legacy/src/server/game/Handlers/AdventureMapHandler.cpp:24	WorldPackets::AdventureMap::AdventureMapStartQuest signed int32 QuestID parser in wow-packet/quest.rs by #NEXT.R8.ENTITIES.908	crates/wow-world/src/handlers/quest.rs:handle_adventure_map_start_quest	LoggedIn	PROCESS_THREADUNSAFE	#NEXT.R8.ENTITIES.908	represented-partial_bounded_adventure_map_poi_can_take_request_capture
